Timestamp,Temperature (°C),Solar Generation (kWh),Weather Condition
2018-01-01,26.09583333333333,10.74,Cloudy
2018-01-02,26.079166666666666,9.49,Cloudy
2018-01-03,25.891666666666666,9.34,Rainy
2018-01-04,26.579166666666666,8.3,Cloudy
2018-01-05,26.191666666666666,9.88,Rainy
2018-01-06,25.712500000000002,7.41,Cloudy
2018-01-07,25.633333333333336,11.51,Rainy
2018-01-08,26.120833333333334,7.77,Cloudy
2018-01-09,26.425,10.63,Rainy
2018-01-10,26.5125,10.549999999999999,Cloudy
2018-01-11,26.21666666666667,9.47,Partly Cloudy
2018-01-12,25.995833333333334,10.31,Cloudy
2018-01-13,26.704166666666666,11.19,Cloudy
2018-01-14,26.120833333333334,7.04,Cloudy
2018-01-15,26.2625,9.55,Cloudy
2018-01-16,26.349999999999998,9.27,Cloudy
2018-01-17,26.191666666666666,9.29,Cloudy
2018-01-18,26.25,10.74,Cloudy
2018-01-19,26.675,11.19,Cloudy
2018-01-20,26.141666666666666,7.25,Rainy
2018-01-21,26.354166666666668,9.02,Cloudy
2018-01-22,26.208333333333332,10.61,Cloudy
2018-01-23,25.787499999999998,10.89,Cloudy
2018-01-24,26.09583333333333,8.950000000000001,Cloudy
2018-01-25,26.5,8.9,Cloudy
2018-01-26,26.425,11.25,Cloudy
2018-01-27,25.995833333333334,11.95,Cloudy
2018-01-28,26.016666666666666,10.29,Cloudy
2018-01-29,25.72083333333333,8.77,Cloudy
2018-01-30,26.075,9.540000000000001,Rainy
2018-01-31,26.379166666666666,10.39,Cloudy
2018-02-01,27.212500000000002,16.61,Cloudy
2018-02-02,28.229166666666668,19.52,Partly Sunny
2018-02-03,26.849999999999998,18.01,Partly Sunny
2018-02-04,27.979166666666668,20.54,Sunny
2018-02-05,27.383333333333336,19.38,Sunny
2018-02-06,27.025000000000002,16.22,Cloudy
2018-02-07,27.508333333333336,18.75,Sunny
2018-02-08,27.4375,18.08,Partly Sunny
2018-02-09,27.65416666666667,19.02,Partly Cloudy
2018-02-10,27.795833333333334,20.12,Partly Sunny
2018-02-11,27.7375,17.86,Partly Sunny
2018-02-12,26.75,15.31,Partly Sunny
2018-02-13,27.5625,17.74,Partly Sunny
2018-02-14,27.858333333333334,16.43,Partly Cloudy
2018-02-15,27.633333333333336,16.97,Partly Sunny
2018-02-16,27.175,18.169999999999998,Cloudy
2018-02-17,28.09166666666667,17.9,Partly Sunny
2018-02-18,27.962500000000002,18.84,Sunny
2018-02-19,27.416666666666668,16.59,Cloudy
2018-02-20,27.291666666666668,18.56,Partly Sunny
2018-02-21,28.045833333333334,18.15,Sunny
2018-02-22,27.462500000000002,20.4,Sunny
2018-02-23,28.120833333333334,18.41,Sunny
2018-02-24,27.95,19.17,Sunny
2018-02-25,27.587500000000002,17.419999999999998,Partly Sunny
2018-02-26,27.34583333333333,17.669999999999998,Partly Sunny
2018-02-27,27.1125,16.29,Cloudy
2018-02-28,28.016666666666666,17.28,Partly Sunny
2018-03-01,27.09166666666667,16.39,Cloudy
2018-03-02,27.604166666666668,19.95,Sunny
2018-03-03,27.412499999999998,17.65,Partly Sunny
2018-03-04,27.05,15.549999999999999,Partly Sunny
2018-03-05,27.84583333333333,18.03,Partly Sunny
2018-03-06,27.375,15.0,Partly Cloudy
2018-03-07,27.691666666666666,17.13,Sunny
2018-03-08,27.458333333333332,16.84,Cloudy
2018-03-09,27.90416666666667,20.64,Sunny
2018-03-10,27.308333333333334,19.14,Partly Sunny
2018-03-11,27.55,17.91,Sunny
2018-03-12,27.2625,20.009999999999998,Partly Sunny
2018-03-13,27.320833333333336,16.03,Partly Cloudy
2018-03-14,27.420833333333334,15.84,Cloudy
2018-03-15,27.929166666666664,18.599999999999998,Sunny
2018-03-16,27.516666666666666,19.99,Sunny
2018-03-17,27.854166666666668,20.64,Partly Sunny
2018-03-18,27.087500000000002,16.77,Partly Sunny
2018-03-19,27.795833333333334,19.71,Sunny
2018-03-20,27.8875,17.41,Partly Sunny
2018-03-21,26.84166666666667,16.39,Partly Sunny
2018-03-22,27.208333333333332,14.67,Cloudy
2018-03-23,27.483333333333334,19.27,Partly Cloudy
2018-03-24,27.070833333333336,17.2,Partly Sunny
2018-03-25,27.55,17.51,Cloudy
2018-03-26,27.7375,17.61,Sunny
2018-03-27,27.175,17.41,Sunny
2018-03-28,28.108333333333334,17.41,Partly Sunny
2018-03-29,27.245833333333334,15.84,Partly Sunny
2018-03-30,27.229166666666668,15.5,Partly Sunny
2018-03-31,28.083333333333332,18.08,Sunny
2018-04-01,27.72083333333333,21.24,Sunny
2018-04-02,27.695833333333336,18.65,Partly Sunny
2018-04-03,27.491666666666664,15.79,Partly Cloudy
2018-04-04,27.766666666666666,17.69,Partly Sunny
2018-04-05,27.90833333333333,19.16,Partly Sunny
2018-04-06,27.370833333333334,16.64,Cloudy
2018-04-07,27.445833333333336,19.97,Cloudy
2018-04-08,28.025000000000002,20.78,Sunny
2018-04-09,26.979166666666668,16.45,Partly Sunny
2018-04-10,27.316666666666666,17.92,Partly Sunny
2018-04-11,27.1375,15.84,Partly Sunny
2018-04-12,27.383333333333336,19.77,Partly Cloudy
2018-04-13,27.537499999999998,19.31,Partly Sunny
2018-04-14,28.016666666666666,18.97,Partly Cloudy
2018-04-15,26.983333333333334,19.45,Partly Sunny
2018-04-16,27.383333333333336,17.16,Sunny
2018-04-17,27.820833333333336,16.32,Sunny
2018-04-18,27.745833333333334,19.36,Partly Sunny
2018-04-19,27.483333333333334,17.1,Partly Sunny
2018-04-20,27.491666666666664,17.32,Partly Sunny
2018-04-21,27.920833333333334,18.72,Sunny
2018-04-22,27.420833333333334,18.75,Partly Sunny
2018-04-23,27.599999999999998,14.89,Cloudy
2018-04-24,27.28333333333333,19.52,Partly Cloudy
2018-04-25,27.462500000000002,18.34,Sunny
2018-04-26,27.775000000000002,18.740000000000002,Sunny
2018-04-27,27.8,21.38,Sunny
2018-04-28,27.270833333333332,16.98,Partly Sunny
2018-04-29,27.0125,15.08,Partly Cloudy
2018-04-30,27.133333333333336,17.3,Partly Sunny
2018-05-01,26.25,10.6,Cloudy
2018-05-02,26.2,7.26,Cloudy
2018-05-03,26.745833333333334,10.32,Cloudy
2018-05-04,25.962500000000002,10.63,Cloudy
2018-05-05,26.233333333333334,10.37,Cloudy
2018-05-06,25.758333333333336,8.209999999999999,Rainy
2018-05-07,25.766666666666666,5.3,Cloudy
2018-05-08,26.2,9.19,Cloudy
2018-05-09,26.0,8.73,Rainy
2018-05-10,26.291666666666668,11.9,Cloudy
2018-05-11,25.21666666666667,7.96,Rainy
2018-05-12,26.079166666666666,11.91,Partly Cloudy
2018-05-13,26.2625,10.14,Cloudy
2018-05-14,26.7375,9.95,Cloudy
2018-05-15,26.258333333333336,8.25,Cloudy
2018-05-16,25.849999999999998,9.47,Rainy
2018-05-17,25.912499999999998,7.94,Cloudy
2018-05-18,26.695833333333336,10.48,Cloudy
2018-05-19,26.34583333333333,11.2,Cloudy
2018-05-20,25.883333333333336,10.18,Cloudy
2018-05-21,25.545833333333334,6.69,Rainy
2018-05-22,25.78333333333333,7.82,Cloudy
2018-05-23,26.195833333333336,11.26,Cloudy
2018-05-24,25.808333333333334,9.6,Cloudy
2018-05-25,25.9875,11.370000000000001,Cloudy
2018-05-26,26.241666666666664,10.13,Cloudy
2018-05-27,26.379166666666666,10.44,Cloudy
2018-05-28,25.645833333333332,7.26,Rainy
2018-05-29,25.825,8.72,Rainy
2018-05-30,26.21666666666667,8.8,Cloudy
2018-05-31,25.8875,10.61,Cloudy
2018-06-01,26.0,9.3,Cloudy
2018-06-02,26.1375,10.38,Cloudy
2018-06-03,26.291666666666668,8.58,Rainy
2018-06-04,25.958333333333332,7.94,Cloudy
2018-06-05,27.183333333333334,8.55,Cloudy
2018-06-06,26.141666666666666,8.39,Cloudy
2018-06-07,25.59583333333333,5.95,Rainy
2018-06-08,25.679166666666664,6.86,Rainy
2018-06-09,26.554166666666664,11.53,Rainy
2018-06-10,26.379166666666666,10.43,Partly Cloudy
2018-06-11,25.858333333333334,9.88,Cloudy
2018-06-12,26.21666666666667,11.56,Partly Sunny
2018-06-13,26.104166666666668,10.53,Partly Cloudy
2018-06-14,25.616666666666664,8.76,Cloudy
2018-06-15,26.020833333333332,8.21,Rainy
2018-06-16,25.633333333333336,12.870000000000001,Rainy
2018-06-17,26.15833333333333,9.35,Cloudy
2018-06-18,26.075,8.85,Cloudy
2018-06-19,26.337500000000002,9.45,Cloudy
2018-06-20,26.21666666666667,9.25,Cloudy
2018-06-21,25.679166666666664,9.36,Cloudy
2018-06-22,25.441666666666666,6.9,Rainy
2018-06-23,26.195833333333336,10.34,Cloudy
2018-06-24,26.287499999999998,9.3,Cloudy
2018-06-25,25.704166666666666,8.75,Rainy
2018-06-26,25.90416666666667,8.209999999999999,Cloudy
2018-06-27,26.166666666666668,12.48,Partly Cloudy
2018-06-28,26.34166666666667,10.16,Cloudy
2018-06-29,25.75,7.4,Cloudy
2018-06-30,26.108333333333334,8.0,Rainy
2018-07-01,25.6875,7.7,Rainy
2018-07-02,26.045833333333334,10.35,Cloudy
2018-07-03,25.675,11.57,Cloudy
2018-07-04,25.95,9.5,Rainy
2018-07-05,26.066666666666666,8.21,Cloudy
2018-07-06,26.495833333333334,11.57,Cloudy
2018-07-07,26.34166666666667,11.15,Rainy
2018-07-08,25.337500000000002,6.33,Rainy
2018-07-09,25.5625,8.05,Rainy
2018-07-10,26.370833333333334,9.91,Rainy
2018-07-11,26.791666666666668,9.73,Cloudy
2018-07-12,26.34166666666667,10.39,Cloudy
2018-07-13,26.175,6.890000000000001,Rainy
2018-07-14,26.670833333333334,10.4,Cloudy
2018-07-15,25.854166666666668,9.879999999999999,Cloudy
2018-07-16,26.516666666666666,9.05,Cloudy
2018-07-17,26.22083333333333,10.959999999999999,Cloudy
2018-07-18,25.787499999999998,8.73,Cloudy
2018-07-19,25.433333333333334,7.67,Rainy
2018-07-20,25.650000000000002,7.98,Rainy
2018-07-21,26.28333333333333,9.81,Rainy
2018-07-22,26.09166666666667,8.67,Cloudy
2018-07-23,26.041666666666668,9.46,Cloudy
2018-07-24,25.6375,7.87,Rainy
2018-07-25,25.866666666666664,9.52,Cloudy
2018-07-26,26.395833333333332,11.969999999999999,Cloudy
2018-07-27,26.020833333333332,9.25,Rainy
2018-07-28,26.370833333333334,9.06,Cloudy
2018-07-29,26.116666666666664,10.51,Cloudy
2018-07-30,26.425,11.67,Cloudy
2018-07-31,25.787499999999998,8.8,Cloudy
2018-08-01,27.120833333333334,18.44,Partly Sunny
2018-08-02,27.3125,17.39,Cloudy
2018-08-03,27.28333333333333,15.13,Partly Cloudy
2018-08-04,27.52916666666667,17.46,Sunny
2018-08-05,27.129166666666666,15.02,Partly Sunny
2018-08-06,27.666666666666668,16.7,Sunny
2018-08-07,27.974999999999998,19.91,Partly Sunny
2018-08-08,27.204166666666666,15.16,Partly Sunny
2018-08-09,27.129166666666666,18.29,Sunny
2018-08-10,27.641666666666666,17.169999999999998,Partly Sunny
2018-08-11,27.991666666666664,16.75,Sunny
2018-08-12,27.891666666666666,17.63,Partly Sunny
2018-08-13,27.191666666666666,18.79,Partly Sunny
2018-08-14,27.045833333333334,18.12,Partly Cloudy
2018-08-15,28.075,18.49,Partly Sunny
2018-08-16,27.150000000000002,18.91,Partly Sunny
2018-08-17,26.96666666666667,17.57,Partly Sunny
2018-08-18,28.016666666666666,18.69,Sunny
2018-08-19,27.09166666666667,15.49,Cloudy
2018-08-20,27.520833333333332,16.68,Sunny
2018-08-21,27.72083333333333,18.26,Partly Sunny
2018-08-22,27.266666666666666,18.69,Partly Cloudy
2018-08-23,27.9375,18.93,Sunny
2018-08-24,27.3125,19.2,Sunny
2018-08-25,28.129166666666666,19.81,Sunny
2018-08-26,26.9875,15.799999999999999,Partly Cloudy
2018-08-27,27.129166666666666,19.92,Partly Sunny
2018-08-28,28.02916666666667,20.87,Sunny
2018-08-29,27.179166666666664,18.0,Cloudy
2018-08-30,27.995833333333334,24.2,Partly Sunny
2018-08-31,27.054166666666664,15.33,Partly Sunny
2018-09-01,27.541666666666668,20.21,Sunny
2018-09-02,27.1875,17.33,Partly Sunny
2018-09-03,27.72083333333333,17.05,Partly Sunny
2018-09-04,27.275000000000002,16.22,Cloudy
2018-09-05,27.479166666666668,18.439999999999998,Partly Sunny
2018-09-06,27.554166666666664,18.16,Cloudy
2018-09-07,27.462500000000002,16.38,Partly Cloudy
2018-09-08,26.97083333333333,18.2,Partly Sunny
2018-09-09,27.8125,19.28,Sunny
2018-09-10,28.099999999999998,17.94,Sunny
